### Footprint positions - created on 2025-03-25T13:06:53-0400 ###
### Printed by KiCad version 9.0.0
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
C1        4u7                          C_0603_1608Metric                                          24.9950    10.0000  180.0000  top
C2        4u7                          C_0603_1608Metric                                          12.4750    12.5000  180.0000  top
C3        100n                         C_0402_1005Metric                                          25.3000    16.2000  180.0000  top
C4        100n                         C_0402_1005Metric                                          33.0000     9.9000    0.0000  top
C5        100n                         C_0402_1005Metric                                          26.0000    11.7500   90.0000  top
C6        4u7                          C_0603_1608Metric                                          15.0000     9.2250   90.0000  top
C7        100n                         C_0402_1005Metric                                          28.0200    21.2500  180.0000  top
C8        100n                         C_0402_1005Metric                                          35.7000    15.0700  -90.0000  top
C9        4u7                          C_0603_1608Metric                                          27.2250    22.7500  180.0000  top
C10       100n                         C_0402_1005Metric                                          25.0000    11.7500   90.0000  top
C11       100n                         C_0402_1005Metric                                          28.0200    20.2500  180.0000  top
C12       100n                         C_0402_1005Metric                                          35.9000    17.5000  -90.0000  top
C13       10p                          C_0402_1005Metric                                          30.2500    10.0000    0.0000  top
C14       100n                         C_0402_1005Metric                                          19.9800    10.0800   90.0000  top
C15       10p                          C_0402_1005Metric                                          27.8300    10.0000  180.0000  top
C16       4u7                          C_0603_1608Metric                                          31.9750    20.7500  180.0000  top
C17       0p8                          C_0402_1005Metric                                          37.3000    15.7750  -90.0000  top
C18       0p3                          C_0402_1005Metric                                          40.3000    15.7750  -90.0000  top
C19       100n                         C_0402_1005Metric                                          35.7700     2.7900  -90.0000  top
D1        LED                          LED_0402_1005Metric                                        39.2500     9.4850   90.0000  top
FLT1      DLF162500LT-5028A1           DLF162500LT-5028A1                                         42.2875    16.2500    0.0000  top
FM1       Fiducial                     Fiducial_1mm_Mask2mm                                        1.5000    23.5000    0.0000  top
FM2       Fiducial                     Fiducial_1mm_Mask2mm                                       40.7500    21.7500    0.0000  top
FM3       Fiducial                     Fiducial_1mm_Mask2mm                                       41.0000     3.0000    0.0000  top
J1        USB_C_Receptacle_USB2.0_16P  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal     4.0700    15.8200  -90.0000  top
J2        Conn_01x04_Pin               Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal          5.2500     6.7500  -90.0000  top
J4        Conn_Coaxial                 U.FL_Hirose_U.FL-R-SMT-1_Vertical                          45.5500    16.2750    0.0000  top
L1        10n                          L_0402_1005Metric                                          29.7500    20.7650   90.0000  top
L2        10u                          L_0805_2012Metric                                          30.8375    22.7500    0.0000  top
L3        2n7                          L_0402_1005Metric                                          38.8000    16.2750    0.0000  top
R1        5k1                          R_0402_1005Metric                                           7.9900     9.7500  180.0000  top
R2        5k1                          R_0402_1005Metric                                           5.2400    22.0000  180.0000  top
R3        220R                         R_0402_1005Metric                                          40.5000     9.4850  -90.0000  top
R4        220R                         R_0402_1005Metric                                          34.6000     9.5000  -90.0000  top
R5        220R                         R_0402_1005Metric                                          36.0200     9.4800   90.0000  top
R6        5k1                          R_0402_1005Metric                                          35.1550     4.5000  180.0000  top
R7        220R                         R_0402_1005Metric                                          34.2700     2.7400  -90.0000  top
SW1       SW_Push                      SW_SPST_CK_RS282G05A3                                      28.2500     2.5000  180.0000  top
U1        MIC5365-3.3YD5               SOT-23-5                                                   12.4000     9.3625  -90.0000  top
U2        USBLC6-2SC6                  SOT-23-6                                                   12.1625    15.5500    0.0000  top
U3        STM32WB55CEU6                QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                        31.0000    15.0000   90.0000  top
X1        32kHz768                     Crystal_SMD_2012-2Pin_2.0x1.2mm                            29.0500     8.4000  180.0000  top
X2        32MHz                        Crystal_SMD_2016-4Pin_2.0x1.6mm                            36.4500    21.0500   90.0000  top
## End
